,University,Canton
1,Université de Genève - GE,GE
2,"NPO (Biblioth., Museen, Verwalt.) - NPO",
3,Universität Basel - BS,BS
4,Université de Fribourg - FR,FR
5,Universität Zürich - ZH,ZH
6,Université de Lausanne - LA,VD
7,Universität Bern - BE,BE
8,"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",
9,Université de Neuchâtel - NE,NE
10,ETH Zürich - ETHZ,ZH
11,Inst. de Hautes Etudes Internat. et du Dév - IHEID,GE
12,Universität St. Gallen - SG,SG
13,Weitere Institute - FINST,
14,Firmen/Privatwirtschaft - FP,
15,Pädagogische Hochschule Graubünden - PHGR,GR
16,EPF Lausanne - EPFL,VD
17,Pädagogische Hochschule Zürich - PHZFH,ZH
18,Universität Luzern - LU,LU
19,Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,ZH
20,SUP della Svizzera italiana - SUPSI,TI
21,HES de Suisse occidentale - HES-SO,JU
22,Robert Walser-Stiftung Bern - RWS,BE
23,Paul Scherrer Institut - PSI,AG
24,Pädagogische Hochschule St. Gallen - PHSG,SG
25,Eidg. Anstalt für Wasserversorgung - EAWAG,ZH
26,Eidg. Material und Prüfungsanstalt - EMPA,ZH
27,Physikal.-Meteorolog. Observatorium Davos - PMOD,
28,Berner Fachhochschule - BFH,BE
29,Swiss Center for Electronics and Microtech. - CSEM,
30,Weitere Spitäler - ASPIT,
31,AO Research Institute - AORI,
32,Allergie- und Asthmaforschung - SIAF,GR
33,Forschungsinstitut für biologischen Landbau - FIBL,HE
34,Friedrich Miescher Institute - FMI,BS
35,Kantonsspital St. Gallen - KSPSG,SG
36,Forschungsanstalten Agroscope - AGS,
37,Ente Ospedaliero Cantonale - EOC,TI
38,Inst. universit. romand de Santé au Travail - IST,VD
39,Eidg. Hochschulinstitut für Berufsbildung - EHB,BE
40,Zürcher Fachhochschule (ohne PH) - ZFH,
41,Università della Svizzera italiana - USI,TI
42,Institut für Kulturforschung Graubünden - IKG,GR
43,Fachhochschule Nordwestschweiz (ohne PH) - FHNW,SO
44,Interkant. Hochschule für Heilpädagogik ZH - HfH,ZH
45,,?. ????
46,Centre de rech. sur l'environnement alpin - CREALP,VS
47,Idiap Research Institute - IDIAP,VS
48,Pädagogische Hochschule Bern - PHBern,BE
49,Institut Universitaire Kurt Bösch - IUKB,VS
50,Schweizer Paraplegiker Forschung - SPF,LU
51,Hochschule Luzern - HSLU,LU
52,Forschungsinstitut für Opthalmologie - IRO,
53,Haute école pédagogique du canton de Vaud - HEPL,VD
54,Fachhochschule Ostschweiz - FHO,SG
55,Inst. Suisse de Spéléologie et Karstologie - ISSKA,NE
56,Swiss Institute of Bioinformatics - SIB,GE
57,"Haute école pédagogique BE, JU, NE - HEPBEJUNE",JU
58,Pädagogische Hochschule Luzern - PHLU,LU
59,Forschungskommission SAGW,
60,Istituto Svizzero di Roma - ISR,Lazio
61,Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,
62,Haute école pédagogique fribourgeoise - HEPFR,FR
63,Pädagogische Hochschule Schwyz - PHSZ,SZ
64,Pädagogische Hochschule Thurgau - PHTG,TG
65,Biotechnologie Institut Thurgau - BITG,TG
66,Fachhochschule Kalaidos - FHKD,ZH
67,Schweizer Kompetenzzentrum Sozialwissensch. - FORS,
68,Pädagogische Hochschule Wallis - PHVS,
69,Schweiz. Hochschule für Logopädie Rorschach - SHLR,SG
70,Pädagogische Hochschule Zug - PHZG,ZG
71,Instituto Ricerche Solari Locarno - IRSOL,TI
72,Franklin University Switzerland - FUS,TI
73,Pädagogische Hochschule Schaffhausen - PHSH,SH
74,Pädagogische Hochschule Nordwestschweiz - PHFHNW,BL
75,Staatsunabh. Theologische Hochschule Basel - STHB,
76,Facoltà di Teologia di Lugano - FTL,TI
77,Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,VS
